Winery,Year,Wine_ID,Wine,Rating,Reviews,Price,Region,Primary_Grape,Natural,Country,Style,Country_Code
Terrazas de los Andes,2019,1132928,Reserva Chardonnay 2019,3.8,93,20.83,Mendoza,Malbec,False,Argentina,White,ARG
Viña Cobos,2019,44024,Felino Chardonnay 2019,3.9,170,19.36561911918315,Mendoza,Malbec,False,Argentina,White,ARG
Chakana,2019,1272881,Malbec Estate Selection 2019,3.7,214,21.71,Luján de Cuyo,Malbec,False,Argentina,Red,ARG
Sottano,2020,1125036,Malbec 2020,3.7,148,14.67092357513875,Luján de Cuyo,Malbec,False,Argentina,Red,ARG
Zuccardi,2016,4320448,Aluvional Altamira 2016,4.3,126,155.0,Paraje Altamira,Malbec,False,Argentina,Red,ARG
Alamos,2019,1879,Malbec 2019,3.8,9601,11.4,Mendoza,Malbec,False,Argentina,Red,ARG
Chacra,2020,1157381,Barda Pinot Noir 2020,4.0,446,25.76,Patagonia,Malbec,False,Argentina,Red,ARG
Colomé,2019,1661696,Auténtico Malbec 2019,4.1,796,37.0,Valles Calchaquíes,Malbec,False,Argentina,Red,ARG
Catena Alta,2017,1872,Chardonnay 2017,4.2,1297,35.0,Mendoza,Malbec,False,Argentina,White,ARG
Cheval des Andes,2016,1926899,Mendoza 2016,4.5,1029,69.0,Mendoza,Malbec,False,Argentina,Red,ARG
Altos Las Hormigas,2016,1224602,Malbec Terroir Valle de Uco 2016,3.5,1253,18.3,Valle de Uco,Malbec,False,Argentina,Red,ARG
Catena Alta,2017,1870,Malbec 2017,4.3,1571,36.0,Mendoza,Malbec,False,Argentina,Red,ARG
Terrazas de los Andes,2018,1161128,Altos del Plata Malbec 2018,3.5,3873,11.95,Mendoza,Malbec,False,Argentina,Red,ARG
Red Schooner,N.V.,9481660,Voyage 9 N.V.,4.4,611,69.94,Mendoza,Malbec,False,Argentina,Red,ARG
El Esteco,2020,1817266,Don David Reserve Malbec 2020,3.9,272,9.7,Valle de Cafayate,Malbec,False,Argentina,Red,ARG
Bodega Norton,2021,1137402,Finca La Colonia Malbec 2021,3.7,27,11.678055165810443,Luján de Cuyo,Malbec,False,Argentina,Red,ARG
Alta Vista,2019,5876379,Vive Malbec 2019,3.7,757,13.8,Mendoza,Malbec,False,Argentina,Red,ARG
Alta Vista,2017,1149367,Terroir Selection Malbec 2017,4.0,946,26.29,Valle de Uco,Malbec,False,Argentina,Red,ARG
Amalaya,2020,1929809,Rosado (Malbec - Torrontés) 2020,3.5,196,9.4,Salta,Malbec,False,Argentina,Rose,ARG
Tapiz,2017,1186083,Black Tears Malbec 2017,4.4,189,44.72,Mendoza,Malbec,False,Argentina,Red,ARG
Catena,2018,1873,Malbec 2018,4.1,11110,14.85,Mendoza,Malbec,False,Argentina,Red,ARG
Catena,2020,1876,Chardonnay 2020,3.7,189,12.79,Mendoza,Malbec,False,Argentina,White,ARG
